,Movies,Worldwide Collections
497,Mob Psycho 100,"$115,766"
498,The Woman Who Loves Giraffes,"$113,858"
499,Police Story,"$113,164"
500,Babylon,"$109,749"
501,The Brink,"$106,057"
502,Cold Case Hammarskjöld,"$104,965"
503,Hotel by the River,"$101,879"
504,Those Who Remained,"$101,737"
505,QT8: The First Eight,"$101,616"
506,Heavy Water,"$99,503"
507,High Strung Free Dance 2019 Re-release,"$98,481"
508,Charlie Says,"$98,240"
509,Prassthanam,"$97,204"
510,Little Monsters,"$97,111"
511,Saint Judy,"$96,212"
512,A Bigger Splash 2019 Re-release,"$95,826"
513,The Final Wish,"$95,215"
514,Papi Chulo,"$94,321"
515,Mapplethorpe,"$91,002"
516,Loopers: The Caddie's Long Walk,"$90,679"
517,The Lumber Baron,"$88,336"
518,Jim Allison: Breakthrough,"$87,984"
519,ECCO,"$86,858"
520,Vault,"$86,741"
521,Skid Row Marathon,"$84,997"
522,Woodstock,"$84,440"
523,The Disappearance of My Mother,"$83,930"
524,Prey,"$82,258"
525,Kind Hearts and Coronets 2019 Re-release,"$80,795"
526,Batman Returns 2019 Re-release,"$80,699"
527,Ms. Purple,"$80,657"
528,Armstrong,"$80,169"
529,End of the Century,"$79,607"
530,Christ Stopped at Eboli,"$78,736"
531,Fast Colour,"$76,916"
532,Greener Grass,"$76,045"
533,5B,"$72,968"
534,Free Trip to Egypt 2019 Re-release,"$71,087"
535,Rosie,"$68,490"
536,Last Year at Marienbad 2019 Re-release,"$68,402"
537,¡He matado a mi marido!,"$68,017"
538,Being Frank,"$67,343"
539,Making Waves: The Art of Cinematic Sound,"$63,998"
540,"Love, Antosha","$62,900"
541,The Mountain,"$61,035"
542,John Fogerty: 50 Year Trip - Live at Red Rocks,"$59,795"
543,Notebook,"$56,166"
544,Midnight Family,"$51,712"
545,Clinton Road,"$50,400"
546,Midnight Traveler,"$50,336"
547,Free Trip to Egypt,"$49,693"
548,The Bounty Killer,"$48,815"
549,The Queen,"$47,818"
